ts_ms,open,high,low,close,volume
1715558400000,61453.01,63456.18,60738.51,62932.37,9170.80865115
1715644800000,62927.44,63103.02,61024.51,61539.84,13456.61307634
1715731200000,61539.7,66480.0,61299.57,66244.69,21821.38858725
1715817600000,66244.68,66772.83,64588.5,65252.18,12012.70197182
1715904000000,65252.17,67500.0,65113.46,67046.33,11710.00723895
1715990400000,67046.34,67407.79,66624.06,66923.87,3880.58113972
1716076800000,66923.87,67701.91,65852.02,66261.62,3565.11346165
1716163200000,66260.04,71560.9,66057.03,71432.17,20415.88691709
1716249600000,71432.16,71980.0,69146.01,70142.84,16102.06132545
1716336000000,70142.88,70659.99,68887.52,69109.93,10889.10300904
1716422400000,69109.93,70066.95,66259.0,67940.45,14340.27843589
1716508800000,67932.79,69278.75,66587.91,68547.8,10374.95988085
1716595200000,68545.52,69605.03,68487.44,69289.67,2501.11901959
1716681600000,69289.69,69522.0,68097.38,68473.72,2037.67329089
1716768000000,68470.8,70613.39,68210.12,69368.72,5384.62278063
1716854400000,69366.31,69533.96,67194.59,68321.98,11975.93086328
1716940800000,68321.99,68864.11,67081.66,67569.45,8970.02059069
1717027200000,67569.44,69536.89,67092.91,68338.58,11841.26381893
1717113600000,68338.58,69024.71,66584.47,67472.41,10690.85876224
1717200000000,67473.07,67837.33,67371.28,67719.29,1949.57008052
1717286400000,67719.29,68411.0,67260.0,67735.52,2997.15241527
1717372800000,67731.14,70295.78,67568.0,68791.0,11884.90882705
1717459200000,68791.04,71108.9,68542.37,70542.32,18042.19396496
1717545600000,70541.68,71804.13,70356.49,71121.11,10123.1802918
1717632000000,71120.65,71650.56,70093.98,70773.64,7716.5079994
1717718400000,70773.63,71974.04,68298.55,69324.53,13768.98185265
1717804800000,69326.71,69546.58,69126.22,69304.05,2631.94610412
1717891200000,69303.8,69848.94,69123.99,69637.87,1826.03995531
1717977600000,69641.08,70187.53,69141.51,69497.73,6088.40363232
1718064000000,69495.97,69547.82,66018.69,67316.53,17354.68915468
1718150400000,67316.52,70032.0,66883.32,68248.6,17140.01139413
1718236800000,68248.59,68474.49,66200.0,66738.85,11916.13211129
1718323200000,66746.46,67322.72,65005.0,66004.39,11520.15791899
1718409600000,66004.36,66428.57,65800.86,66192.0,2004.1421548
1718496000000,66192.0,66931.18,65999.0,66628.75,2118.65163435
1718582400000,66629.38,67274.96,65050.0,66481.81,14487.64060903
1718668800000,66481.81,66574.33,64010.01,65152.8,15937.73176483
1718755200000,65150.9,65709.26,64635.48,64943.79,4958.38361329
1718841600000,64945.67,66455.52,64500.0,64840.88,9346.70807899
1718928000000,64840.89,65017.1,63300.93,64120.28,9816.79599936
1719014400000,64120.28,64523.91,63910.01,64235.01,2324.21500373
1719100800000,64235.0,64499.95,63125.75,63171.43,2054.79092364
1719187200000,63169.36,63343.91,58414.28,60263.0,21418.04594647
1719273600000,60262.16,62400.0,60217.36,61789.71,15201.5824773
1719360000000,61794.47,62470.0,60656.8,60816.68,11392.79835017
1719446400000,60818.86,62346.16,60546.94,61615.39,10530.35898848
1719532800000,61611.43,62170.62,59868.0,60313.35,11381.0258738
1719619200000,60312.36,61122.66,60273.8,60885.67,3199.03650127
1719705600000,60884.44,62942.67,60611.01,62668.26,4263.22924826
1719792000000,62669.14,63801.26,62448.46,62830.13,12326.70696465
1719878400000,62830.94,63223.57,61000.0,62040.22,10688.64132628
1719964800000,62039.44,62197.01,59332.76,60145.01,12066.71677065
1720051200000,60145.01,60429.27,56709.73,57042.14,17969.35692426
1720137600000,57036.45,57515.6,53499.9,56639.43,28052.41501655
